Date,Quality,Machine No.,Weight 1,MR% 1,Actual 1,Converted 1,Weight 2,MR% 2,Actual 2,Converted 2,Average Converted,Weight 1 (gm),Weight 2 (gm)
2025-10-24,Hessian,,200.0,50.0,100.0,4.41,300.0,30.0,210.0,9.26,6.83,,
2025-10-24,Hessian,1.0,200.0,20.0,160.0,7.05,222.0,23.0,170.94,7.54,7.29,,
2025-10-24,Hessian,1.0,200.0,20.0,160.0,7.05,222.0,23.0,170.94,7.54,7.29,,
2025-10-24,Special Sacking Warp S4,1.0,300.0,20.0,240.0,10.58,222.0,23.0,170.94,7.54,9.06,,
2025-10-24,Hessian,3.0,200.0,50.0,100.0,4.41,300.0,35.0,195.0,8.6,6.5,,
2025-10-25,Hessian,1.0,245.0,33.0,164.15,7.24,245.0,35.0,159.25,7.02,7.13,,
2025-10-25,Hessian,1.0,273.0,22.0,212.94,9.39,222.0,22.0,173.16,7.63,8.51,,
2025-10-25,Hessian,1.0,33.0,30.0,23.1,1.02,333.0,20.0,266.4,11.75,6.38,,
2025-10-25,Hessian,1.0,33.0,30.0,23.1,1.02,333.0,20.0,266.4,11.75,6.38,,
2025-10-25,Hessian,1.0,288.0,22.0,224.64,9.9,288.0,28.0,207.36,9.14,9.52,,
2025-10-25,Hessian,1.0,288.0,22.0,224.64,9.9,288.0,28.0,207.36,9.14,9.52,,
2025-10-25,Hessian,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2025-10-25,Hessian,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2025-10-25,Hessian,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2025-10-25,Hessian,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2025-10-25,Hessian,1.0,0.0,30.0,0.0,0.0,30.0,30.0,21.0,0.93,0.47,,
2025-10-25,Hessian,1.0,399.0,30.0,279.3,12.31,30.0,30.0,21.0,0.93,6.62,,
2025-10-25,Hessian,1.0,399.0,30.0,279.3,12.31,30.0,30.0,21.0,0.93,6.62,,
2025-10-25,Hessian,1.0,399.0,30.0,279.3,12.31,30.0,30.0,21.0,0.93,6.62,,
2025-10-25,Hessian,1.0,399.0,30.0,279.3,12.31,30.0,30.0,21.0,0.93,6.62,,
2025-10-25,Special Sacking Warp S4,1000000000000.0,0.6,15.0,0.51,0.02,0.7999999999999999,56.0,0.35,0.02,0.02,,
2025-10-25,Special Sacking Warp S4,1000000000000.0,0.6,15.0,0.51,0.02,0.7999999999999999,56.0,0.35,0.02,0.02,,
2025-10-25,Special Sacking Warp S4,1.0,273.0,38.0,169.26,7.46,254.0,32.0,172.72,7.62,7.54,,
2025-10-27,Hessian,1.0,270.0,23.0,207.9,9.17,280.0,33.0,187.6,8.27,8.72,,
2025-10-27,Hessian,1.0,270.0,23.0,207.9,9.17,280.0,33.0,187.6,8.27,8.72,,
2025-10-27,Hessian,1.0,444.0,22.0,346.32,15.27,222.0,22.0,173.16,7.63,11.45,,
2025-10-27,Hessian,1.0,444.0,22.0,346.32,15.27,222.0,22.0,173.16,7.63,11.45,,
2025-10-27,Hessian,1.0,444.0,22.0,346.32,15.27,222.0,22.0,173.16,7.63,11.45,,
2025-10-27,Hessian,1.0,444.0,22.0,346.32,15.27,222.0,22.0,173.16,7.63,11.45,,
2025-10-27,Hessian,1.0,444.0,22.0,346.32,15.27,222.0,22.0,173.16,7.63,11.45,,
2025-10-27,Hessian,1.0,456.0,22.0,355.68,15.68,222.0,22.0,173.16,7.63,11.65,,
2025-10-27,Hessian,1.0,443.0,22.0,345.54,15.23,222.0,23.0,170.94,7.54,11.38,,
2025-10-27,Hessian,1.0,443.0,22.0,345.54,15.23,222.0,23.0,170.94,7.54,11.38,,
2025-10-27,Hessian,1.0,443.0,23.0,341.11,15.04,566.0,45.0,311.3,13.73,14.38,,
2025-10-27,Hessian,1.0,245.0,45.0,134.75,5.94,333.0,33.0,223.11,9.84,7.89,,
2025-10-27,Hessian,1.0,322.0,22.0,251.16,11.07,222.0,25.0,166.5,7.34,9.21,,
2025-10-27,Hessian,1.0,344.0,43.0,196.08,8.65,222.0,34.0,146.52,6.46,7.55,,
2025-10-27,Hessian,1.0,273.0,27.0,199.29,8.79,233.0,23.0,179.41,7.91,8.35,,
2025-11-01,Hessian,1.0,,24.0,288.89,270.25,,24.0,258.2,241.54,255.89,273.0,244.0
2025-11-01,Hessian,3.0,,27.0,288.89,263.87,,24.0,258.2,241.54,252.7,273.0,244.0
2025-11-01,Hessian,2.0,,27.0,293.12,267.73,,26.0,281.48,259.14,263.44,277.0,266.0
